,vender,url,product,description,image,live,price
0,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-lavender,GMK Lavender Extras,"Throughout various cultures, lavender is represented in food, drinks, and fashion. GMK Lavender is inspired by these uses throughout the world, as well as the flower’s calming color. The designer, Dotnick, chose a more muted shade of lavender for this set to reflect how this color is used in modern culture and fashion. GMK Lavender Keycaps.",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/Lavenderbasekit_grande.png?v=1622352012,False,from $115.00
1,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-nightshade,GMK Nightshade Extras,"GMK Nightshade is expected to be shipped in or before November 2022. This item is a preorder with limited units available. It is expected to ship from GMK on or before November 2022. Additionally, preorder items cannot be combined with other products in the store in a single order unrelated to Nightshade. GMK Nightshade Specifications Manufactured by GMK Compatible with MX style switches Cherry profile (1-1-2-3-4-4) ABS Plastic Designed by BlindAssassin111 Disclaimers Kindly note that the images are of 3D renders and are for illustration purposes only. The final colors may differ slightly. Keyboards are shown for demonstrative purposes only and are not included with the purchase of these keycaps. By joining this preorder, you acknowledge and agree to the following: This is a group-buy/pre-order item, it is not in stock. There can be delays and setbacks, shipping time is subject to change. You will be charged immediately for this item. There are no refunds or cancellations on these orders. Salvun Metal Artisan - Brass R1 cherry profile, Cerakote matched to the Nightshade Aviator Cable, laser-etched and clear-coated. Desk Pads designed by OCM. Not in the US? UK - ProtoTypist EU - CandyKeys CA - AshKeebs SEA - iLumKB AU - Switchkeys CN - zFrontier",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/GMK_Nightshade_Base_dist_V1.1_grande.png?v=1613172729,False,from $185.00
2,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-pacific,GMK Pacific Extras,"GMK Pacific is expected to be shipped in or before Q2 2023 Extras for desk pads will ship immediately if ordered separately from the GMK keycaps. This item is a preorder with limited units available. It is expected to ship from GMK on or before April 2023. Additionally, preorder items cannot be combined with other prod",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/Base-Us_grande.png?v=1647628241,False,from $180.00
3,Space Cables,https://spaceholdings.net/collections/keycaps/products/hibi-jwst-novelty-keycap,HIBI & JWST Novelty Keycap,"This item is in stock and ready to ship. About this project This artisan keycap, created by HIBI upon request by Oblotzky, celebrates the beginning of the James Webb Space Telescope's mission to explore the farthest places in space. The telescope took multiple decades from concept to launch and is expected to observe t",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/web-resize_grande.jpg?v=1667294676,True,$64.99
4,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-purple-night,GMK Purple Night Extras,Dance off into the Purple Night turning your set up into the dance floor. Zambumon returns with another wonderful mono-colored set featuring saturated royal purple and bright white legends. Simple kitting choices make your life easy with all basic layouts covered with a carefully curated base kit and extended by the Ma,http://cdn.shopify.com/s/files/1/0351/4577/7289/products/ZAMBUMON-GMK_PURPLE_NIGHT-KIT_01-CORE_grande.jpg?v=1647628577,False,from $175.00
5,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-hooty,GMK Hooty Extras,"Designer by Sour, Hooty is quite the grumpy little owlet, usually disgruntled, tired, generally unimpressed, and always waking up on the wrong side of the bed - GMK Hooty Keycaps.",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/GMK-Hooty-Base_grande.png?v=1635728701,False,from $185.00
6,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-relegendables-plus,GMK Relegendables+ Extras,"GMK Relegendables+ is expected to be shipped in or before Q1 2023 This item is a preorder with limited units available. It is expected to ship from GMK on or before Q1 2023. Additionally, preorder items cannot be combined with other products in the store in a single order unrelated to GMK Relegendables+. GMK Relegendab",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/CRBLACK-FRONTPRINT_e17406f0-3963-44bc-85c4-99af5c90354a_grande.png?v=1659749415,False,from $19.99
7,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-wob-red-cyrillic,GMK WoB Red Cyrillic Extras,"GMK WoB Red Cyrillic is expected to be shipped in Q2 2023.  Designed by Qarmaa This item is a preorder with limited units available. It is expected to ship from GMK on or before June 2023. Additionally, preorder items cannot be combined with other products in the store in a single order unrelated to WoB Red Cyrillic. I",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/gmk_wob_cyrillic_calliope_1_grande.jpg?v=1633054382,False,from $185.00
8,Space Cables,https://spaceholdings.net/collections/keycaps/products/polybius-extras,GMK Polybius Extras,"GMK Polybius, based on an arcade video game rumored to cause cardiac arrhythmia, motion sickness, and seizures, this set brings classic arcade room carpet stylings to your keyboard. This set is sure to create some nostalgia for late nights in the arcade. Designed by nathan.alpha.man and octixkb this set is a must.",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/Bars_0.5x_4fe83548-af33-4cc7-8b67-8f6e6a8b2538_grande.png?v=1664596625,True,from $149.99
9,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-nightrunner-r2,GMK Night Runner R2 Extras,"Check out the GMK Night Runner R2 companion items here. Also, check out the Stellar65 - Night Runner Edition here. Orders open: December 1st, 2021. Orders close: December 31st, 2021 (23:59 store’s local time). GMK Night Runner R2 is expected to be shipped in Q4 2022.  GMK Night Runner R2 is expected to be shipped in Q2",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/Base-kit_grande.jpg?v=1667294905,False,from $185.00
10,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-dandy-extras,GMK Dandy Extras,"Designed by Sour, GMK Dandy keycaps are sure to bring some extra style to your desk! Pick between a Mono Cream Base Kit or a Mono Green Base kit, then make it pop with some accents or novelties!",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/Dandy_Base_01_985796a8-ff5e-4205-b51d-e50a9b254044_grande.jpg?v=1667366461,True,from $164.99
11,Space Cables,https://spaceholdings.net/collections/keycaps/products/mw-retro-lights,MW Retro Lights,"Designed by Jr.Mars Inspired by macOS Light Mode. Novelties are macOS icon. Different from original RGBY accents, Retro Lights accents color are based on macOS dots color. These higher saturation accents create a balance between modern and vintage.",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/kitting-layout_General_grande.png?v=1659130929,True,$84.99
12,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-classic-beige-extras-preorder,GMK Classic Beige Extras,GMK Classic Beige (KA1953 revamped by dennisbrochill) & GMK Hangul Beige by xondat,http://cdn.shopify.com/s/files/1/0351/4577/7289/products/KA1953.2507_f35e641d-86ef-4c82-b6d9-da29f760c62a_grande.jpg?v=1663078303,False,$159.99
13,Space Cables,https://spaceholdings.net/collections/keycaps/products/copy-of-gmk-wasabi-v2-extras,GMK Wasabi V2 Extras,"This amazing set is back for a second round, this time featuring some new things, such as an alternate Latin kit, new accents, Alice support, and more!",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/GMK_Wasabi_R2_Base_dist_V2_grande.jpg?v=1670796078,True,from $154.99
14,Space Cables,https://spaceholdings.net/collections/keycaps/products/gmk-jamon-2-extras,GMK Jamón 2 Extras,GMK Jamón 2 Keycaps - A set inspired by cured ham that for some odd reason has bacon and egg novelties. Designed by Zambumon.,http://cdn.shopify.com/s/files/1/0351/4577/7289/products/ZAMBUMON-GMK_JAMON_2-PRODUCT_CARD-1920x1080_327cc160-910f-4bec-81ec-a19d7cb0f491_grande.jpg?v=1660745475,False,from $149.99
15,Space Cables,https://spaceholdings.net/collections/keycaps/products/rama-works-deepwell-novelty-keycaps,RAMA WORKS & Deepwell Novelty Keycaps,A project inspired by Honeywell but with richer colors and a little sci-fi inspiration for the kit names and desk pads! Designed by Tyson & Sour.,http://cdn.shopify.com/s/files/1/0351/4577/7289/products/RAMA_RED_1_grande.jpg?v=1674932017,True,$52.99
16,Space Cables,https://spaceholdings.net/collections/keycaps/products/mw-pono-light-extras,MW Pono Light Extras,"Light, cute, and sweet. Pono Light offers fresh custom legends, a small collection of Ponoji's, a Katakana base, and international and 40's kits, not to mention plenty of accents and text novelties to cover your keycap and Pono needs. Colors have already gone through a matching process and there was a small sample batch of keycaps tested, to ensure legend and color quality.",http://cdn.shopify.com/s/files/1/0351/4577/7289/products/ponolight-latinbase_2c239b2c-c126-4998-bb13-f48ee343f1e3_grande.jpg?v=1670550438,False,$84.99
